,party_anc,party_eff,party_da,party_cope
2016-02-11 17:30:00,23,27,21,5
2016-02-11 17:31:00,24,20,33,1
2016-02-11 17:32:00,22,16,26,2
2016-02-11 17:33:00,23,26,28,3
2016-02-11 17:34:00,28,22,23,6
2016-02-11 17:35:00,20,21,25,4
2016-02-11 17:36:00,26,28,24,1
2016-02-11 17:37:00,27,31,34,0
2016-02-11 17:38:00,33,37,33,0
2016-02-11 17:39:00,29,30,29,2
2016-02-11 17:40:00,32,36,32,0
2016-02-11 17:41:00,36,39,33,0
2016-02-11 17:42:00,35,41,27,1
2016-02-11 17:43:00,24,28,42,2
2016-02-11 17:44:00,42,39,42,1
2016-02-11 17:45:00,43,46,36,1
2016-02-11 17:46:00,40,34,35,3
2016-02-11 17:47:00,48,30,27,4
2016-02-11 17:48:00,38,20,33,2
2016-02-11 17:49:00,47,29,35,2
2016-02-11 17:50:00,34,23,37,0
2016-02-11 17:51:00,28,22,30,3
2016-02-11 17:52:00,45,29,33,2
2016-02-11 17:53:00,44,25,28,3
2016-02-11 17:54:00,38,24,30,0
2016-02-11 17:55:00,36,19,23,4
2016-02-11 17:56:00,39,22,28,1
2016-02-11 17:57:00,41,23,24,0
2016-02-11 17:58:00,34,28,29,2
2016-02-11 17:59:00,46,39,41,0
2016-02-11 18:00:00,45,26,38,3
2016-02-11 18:01:00,43,28,31,1
2016-02-11 18:02:00,37,27,32,0
2016-02-11 18:03:00,39,30,37,1
2016-02-11 18:04:00,32,41,34,1
2016-02-11 18:05:00,34,32,24,3
2016-02-11 18:06:00,35,43,44,2
2016-02-11 18:07:00,35,28,24,1
2016-02-11 18:08:00,49,30,26,1
2016-02-11 18:09:00,50,46,24,1
2016-02-11 18:10:00,35,62,25,1
2016-02-11 18:11:00,41,66,29,0
2016-02-11 18:12:00,50,45,20,0
2016-02-11 18:13:00,30,55,38,0
2016-02-11 18:14:00,57,53,25,1
2016-02-11 18:15:00,43,54,37,0
2016-02-11 18:16:00,57,61,34,1
2016-02-11 18:17:00,47,46,28,1
2016-02-11 18:18:00,57,54,42,1
2016-02-11 18:19:00,62,73,38,0
2016-02-11 18:20:00,67,84,37,0
2016-02-11 18:21:00,80,74,33,0
2016-02-11 18:22:00,69,80,49,0
2016-02-11 18:23:00,58,73,49,0
2016-02-11 18:24:00,51,63,38,0
2016-02-11 18:25:00,59,57,40,0
2016-02-11 18:26:00,63,68,39,0
2016-02-11 18:27:00,49,57,34,1
2016-02-11 18:28:00,48,55,35,0
2016-02-11 18:29:00,48,58,49,0
2016-02-11 18:30:00,57,57,44,1
2016-02-11 18:31:00,60,50,38,0
2016-02-11 18:32:00,43,52,32,0
2016-02-11 18:33:00,39,45,23,0
2016-02-11 18:34:00,52,62,38,2
2016-02-11 18:35:00,55,46,32,1
2016-02-11 18:36:00,49,58,27,1
2016-02-11 18:37:00,74,62,43,3
2016-02-11 18:38:00,52,64,58,0
2016-02-11 18:39:00,69,69,57,1
2016-02-11 18:40:00,70,59,40,0
2016-02-11 18:41:00,67,67,61,1
2016-02-11 18:42:00,60,50,45,1
2016-02-11 18:43:00,66,53,49,0
2016-02-11 18:44:00,66,60,44,0
2016-02-11 18:45:00,69,58,39,0
2016-02-11 18:46:00,59,55,23,0
2016-02-11 18:47:00,46,57,31,1
2016-02-11 18:48:00,44,47,30,1
2016-02-11 18:49:00,70,46,42,2
2016-02-11 18:50:00,63,42,32,2
